game_id,move_index,player,source,move,winner,board_before
1779270107,0,X,human,112,X,.................................................................................................................................................................................................................................
1779270107,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779270107,2,X,human,113,X,..........O.....................................................................................................X................................................................................................................
1779270107,3,O,computer,128,X,..........O.....................................................................................................XX...............................................................................................................
1779270107,4,X,human,111,X,..........O.....................................................................................................XX..............O................................................................................................
1779270107,5,O,computer,127,X,..........O....................................................................................................XXX..............O................................................................................................
1779270107,6,X,human,110,X,..........O....................................................................................................XXX.............OO................................................................................................
1779270107,7,O,computer,109,X,..........O...................................................................................................XXXX.............OO................................................................................................
1779270107,8,X,human,114,X,..........O..................................................................................................OXXXX.............OO................................................................................................
1779270124,0,X,human,111,X,.................................................................................................................................................................................................................................
1779270124,1,O,computer,55,X,...............................................................................................................X.................................................................................................................
1779270124,2,X,human,126,X,.......................................................O.......................................................X.................................................................................................................
1779270124,3,O,computer,127,X,.......................................................O.......................................................X..............X..................................................................................................
1779270124,4,X,human,141,X,.......................................................O.......................................................X..............XO.................................................................................................
1779270124,5,O,computer,41,X,.......................................................O.......................................................X..............XO.............X...................................................................................
1779270124,6,X,human,96,X,.........................................O.............O.......................................................X..............XO.............X...................................................................................
1779270124,7,O,computer,81,X,.........................................O.............O........................................X..............X..............XO.............X...................................................................................
1779270124,8,X,human,156,X,.........................................O.............O.........................O..............X..............X..............XO.............X...................................................................................
1779270147,0,X,human,110,X,.................................................................................................................................................................................................................................
1779270147,1,O,computer,10,X,..............................................................................................................X..................................................................................................................
1779270147,2,X,human,96,X,..........O...................................................................................................X..................................................................................................................
1779270147,3,O,computer,55,X,..........O.....................................................................................X.............X..................................................................................................................
1779270147,4,X,human,82,X,..........O............................................O........................................X.............X..................................................................................................................
1779270147,5,O,computer,54,X,..........O............................................O..........................X.............X.............X..................................................................................................................
1779270147,6,X,human,68,X,..........O...........................................OO..........................X.............X.............X..................................................................................................................
1779270147,7,O,computer,40,X,..........O...........................................OO............X.............X.............X.............X..................................................................................................................
1779270147,8,X,human,124,X,..........O.............................O.............OO............X.............X.............X.............X..................................................................................................................
1779270170,0,X,human,109,X,.................................................................................................................................................................................................................................
1779270170,1,O,computer,55,X,.............................................................................................................X...................................................................................................................
1779270170,2,X,human,93,X,.......................................................O.....................................................X...................................................................................................................
1779270170,3,O,computer,113,X,.......................................................O.....................................X...............X...................................................................................................................
1779270170,4,X,human,125,X,.......................................................O.....................................X...............X...O...............................................................................................................
1779270170,5,O,computer,77,X,.......................................................O.....................................X...............X...O...........X...................................................................................................
1779270170,6,X,human,141,X,.......................................................O.....................O...............X...............X...O...........X...................................................................................................
1779270170,7,O,computer,173,X,.......................................................O.....................O...............X...............X...O...........X...............X...................................................................................
1779270170,8,X,human,157,X,.......................................................O.....................O...............X...............X...O...........X...............X...............................O...................................................
1779270191,0,X,human,113,X,.................................................................................................................................................................................................................................
1779270191,1,O,computer,55,X,.................................................................................................................X...............................................................................................................
1779270191,2,X,human,99,X,.......................................................O.........................................................X...............................................................................................................
1779270191,3,O,computer,114,X,.......................................................O...........................................X.............X...............................................................................................................
1779270191,4,X,human,85,X,.......................................................O...........................................X.............XO..............................................................................................................
1779270191,5,O,computer,71,X,.......................................................O.............................X.............X.............XO..............................................................................................................
1779270191,6,X,human,127,X,.......................................................O...............O.............X.............X.............XO..............................................................................................................
1779270191,7,O,computer,57,X,.......................................................O...............O.............X.............X.............XO............X.................................................................................................
1779270191,8,X,human,141,X,.......................................................O.O.............O.............X.............X.............XO............X.................................................................................................
1779270223,0,X,human,114,X,.................................................................................................................................................................................................................................
1779270223,1,O,computer,81,X,..................................................................................................................X..............................................................................................................
1779270223,2,X,human,98,X,.................................................................................O................................X..............................................................................................................
1779270223,3,O,computer,113,X,.................................................................................O................X...............X..............................................................................................................
1779270223,4,X,human,82,X,.................................................................................O................X..............OX..............................................................................................................
1779270223,5,O,computer,66,X,.................................................................................OX...............X..............OX..............................................................................................................
1779270223,6,X,human,130,X,..................................................................O..............OX...............X..............OX..............................................................................................................
1779270223,7,O,computer,146,X,..................................................................O..............OX...............X..............OX...............X..............................................................................................
1779270223,8,X,human,116,X,..................................................................O..............OX...............X..............OX...............X...............O..............................................................................
1779270223,9,O,computer,162,X,..................................................................O..............OX...............X..............OX.X.............X...............O..............................................................................
1779270223,10,X,human,102,X,..................................................................O..............OX...............X..............OX.X.............X...............O...............O..............................................................
1779270223,11,O,computer,2,X,..................................................................O..............OX...............X...X..........OX.X.............X...............O...............O..............................................................
1779270223,12,X,human,144,X,..O...............................................................O..............OX...............X...X..........OX.X.............X...............O...............O..............................................................
1779270223,13,O,computer,50,X,..O...............................................................O..............OX...............X...X..........OX.X.............X.............X.O...............O..............................................................
1779270223,14,X,human,88,X,..O...............................................O...............O..............OX...............X...X..........OX.X.............X.............X.O...............O..............................................................
1779270257,0,X,human,115,X,.................................................................................................................................................................................................................................
1779270257,1,O,computer,55,X,...................................................................................................................X.............................................................................................................
1779270257,2,X,human,100,X,.......................................................O...........................................................X.............................................................................................................
1779270257,3,O,computer,145,X,.......................................................O............................................X..............X.............................................................................................................
1779270257,4,X,human,85,X,.......................................................O............................................X..............X.............................O...............................................................................
1779270257,5,O,computer,70,X,.......................................................O.............................X..............X..............X.............................O...............................................................................
1779270257,6,X,human,101,X,.......................................................O..............O..............X..............X..............X.............................O...............................................................................
1779270257,7,O,computer,58,X,.......................................................O..............O..............X..............XX.............X.............................O...............................................................................
1779270257,8,X,human,99,X,.......................................................O..O...........O..............X..............XX.............X.............................O...............................................................................
1779270257,9,O,computer,160,X,.......................................................O..O...........O..............X.............XXX.............X.............................O...............................................................................
1779270257,10,X,human,98,X,.......................................................O..O...........O..............X.............XXX.............X.............................O..............O................................................................
1779270257,11,O,computer,175,X,.......................................................O..O...........O..............X............XXXX.............X.............................O..............O................................................................
1779270257,12,X,human,97,X,.......................................................O..O...........O..............X............XXXX.............X.............................O..............O..............O.................................................
1779270276,0,X,human,116,X,.................................................................................................................................................................................................................................
1779270276,1,O,computer,40,X,....................................................................................................................X............................................................................................................
1779270276,2,X,human,115,X,........................................O...........................................................................X............................................................................................................
1779270276,3,O,computer,100,X,........................................O..........................................................................XX............................................................................................................
1779270276,4,X,human,114,X,........................................O...........................................................O..............XX............................................................................................................
1779270276,5,O,computer,55,X,........................................O...........................................................O.............XXX............................................................................................................
1779270276,6,X,human,113,X,........................................O..............O............................................O.............XXX............................................................................................................
1779270276,7,O,computer,70,X,........................................O..............O............................................O............XXXX............................................................................................................
1779270276,8,X,human,112,X,........................................O..............O..............O.............................O............XXXX............................................................................................................
1779270733,0,X,human,112,X,.................................................................................................................................................................................................................................
1779270733,1,O,computer,113,X,................................................................................................................X................................................................................................................
1779270733,2,X,human,97,X,................................................................................................................XO...............................................................................................................
1779270733,3,O,computer,127,X,.................................................................................................X..............XO...............................................................................................................
1779270733,4,X,human,98,X,.................................................................................................X..............XO.............O.................................................................................................
1779270733,5,O,computer,82,X,.................................................................................................XX.............XO.............O.................................................................................................
1779270733,6,X,human,126,X,..................................................................................O..............XX.............XO.............O.................................................................................................
1779270733,7,O,computer,140,X,..................................................................................O..............XX.............XO............XO.................................................................................................
1779270733,8,X,human,128,X,..................................................................................O..............XX.............XO............XO............O....................................................................................
1779270733,9,O,computer,84,X,..................................................................................O..............XX.............XO............XOX...........O....................................................................................
1779270733,10,X,human,96,X,..................................................................................O.O............XX.............XO............XOX...........O....................................................................................
1779270733,11,O,computer,154,X,..................................................................................O.O...........XXX.............XO............XOX...........O....................................................................................
1779270733,12,X,human,144,X,..................................................................................O.O...........XXX.............XO............XOX...........O.............O......................................................................
1779270733,13,O,computer,56,X,..................................................................................O.O...........XXX.............XO............XOX...........O...X.........O......................................................................
1779270733,14,X,human,160,X,........................................................O.........................O.O...........XXX.............XO............XOX...........O...X.........O......................................................................
1779271077,0,X,human,112,X,.................................................................................................................................................................................................................................
1779271077,1,O,computer,113,X,................................................................................................................X................................................................................................................
1779271077,2,X,human,97,X,................................................................................................................XO...............................................................................................................
1779271077,3,O,computer,127,X,.................................................................................................X..............XO...............................................................................................................
1779271077,4,X,human,82,X,.................................................................................................X..............XO.............O.................................................................................................
1779271077,5,O,computer,67,X,..................................................................................X..............X..............XO.............O.................................................................................................
1779271077,6,X,human,111,X,...................................................................O..............X..............X..............XO.............O.................................................................................................
1779271077,7,O,computer,52,X,...................................................................O..............X..............X.............XXO.............O.................................................................................................
1779271077,8,X,human,96,X,....................................................O..............O..............X..............X.............XXO.............O.................................................................................................
1779271077,9,O,computer,110,X,....................................................O..............O..............X.............XX.............XXO.............O.................................................................................................
